,CDH2,CDH3,CDK9,CDKN1A,IGF2BP1,IGF2BP3,IGF2BP2,CTCF,COL1A1,COL3A1,CLDN7,CSF2,CTGF,CTNNB1,CTSL,CYP24A1,GADD45A,JAG1,EGFR,ELAVL1,ERBB2,ERBB3,ERBB4,ESR1,EZH2,ALDH1A1,ALDH1B1,FAP,ALDH1A3,DKK1,FOXM1,FLNA,FN1,BRD4,LDLRAP1,GATA3,GLI1,GLI2,DLL1,CXCL1,HAS2,APC,SNAI3,IDI1,IGF1R,IGF2,IGFBP3,IGFBP5,IGFBP6,IL6,CXCL8,INSIG1,ITGA6,AR,ITGA3,ITGAV,ITGB4,ITGB5,KRT5,KRT8,KRT14,KRT18,KRT19,LIN28B,LCN2,LRP6,EPCAM,MCM2,MCM3,MCM4,MCM5,MCM6,MCM7,MET,MMP2,MMP9,MMP13,MYC,NOTCH1,NSDHL,LEF1,PDGFA,PDGFB,PECAM1,PGR,PIGR,PLEC,POU1F1,POU5F1,FBXW7,PDGFC,PTEN,PTPN1,PTPN3,ACTA1,ACTA2,RB1,CCND1,ACTB,CCL2,CXCL12,SHH,SNAI2,SNAI1,SOX2,SPARC,BRCA1,BRAF,BRCA2,TCF4,TCF7L2,ZEB1,TGFB1,TGFB1I1,TGFB2,TGFB3,TGFBI,THBS1,TIMP1,TIMP2,TJP1,TP53,TP53BP1,TP73,TWIST1,VCL,VDR,VEGFA,VEGFB,VEGFC,EZR,VIM,WNT2B,WNT9A,CXCR4,NANOG,PDGFD,HMGA2,AXIN1,AXIN2,LGR5,TP63,PROM1,ALDH1A2,CLDN12,CLDN2,CLDN1,DCLK1,AURKB,CYTH3,TJP2,CD44,GIT2,CDK1,ZEB2,CDH1
TCGA-E2-A1LG,1.2788653771481202,0.317094816427434,28.1093134384994,108.26750203155899,0.102856578219047,3.91674673451436,6.140471652388671,59.0276645553403,53.424557187805995,50.116730161813294,132.747570638275,0.1,31.7391820114337,551.6942462504375,61.583558514771994,0.182405407331958,108.670988069078,45.6637054811644,37.21231285697277,50.86965869346924,184.198256230281,128.02505601236402,0.5640509128896379,0.20814312527450896,49.22780761687329,91.6412004967875,14.5174526618153,6.67153597304223,4.91457274239965,0.12883618765968402,44.0582348696321,77.2034611256182,199.369017063929,48.575462479195004,6.91529039263584,4.24369012458157,1.87335675731527,5.5312913258039815,0.346538608069205,12.289431063532698,0.243463208306482,14.839541200206002,0.7573711013685459,17.5319157474317,4.71138791566121,1.3714604338769298,204.41830228621998,94.1075764570106,9.674706140630141,0.445181851802594,7.25933457203825,96.5405932707718,82.10671169053721,0.15884405651485198,24.215180924767104,43.880629029275894,196.878796923007,38.214853212781,1717.397021881995,1407.43075079845,2163.9695150900916,307.583632574641,724.2654370699789,0.8952811656726773,622.4247699049689,12.5039713469975,216.538086243875,62.2129214984343,209.416500048167,89.5305772229475,80.2727139647986,84.25331332301741,104.853094397665,17.9613541437292,17.050309112263,14.851191671069698,7.9703981709956695,125.980837179856,11.570045000829802,15.0279151431107,2.18079282621179,6.8783698165181395,14.1312102973646,18.9312262110967,0.11016147235054599,0.45951653168249196,33.9656648868469,0.1,0.49995006410238196,5.33224858199154,4.49327905626026,26.1463737594559,30.7985491701692,6.589317557713651,0.11789163376517299,61.030551102635606,2.55741287274061,208.38413615489202,3181.35941598726,4.44322782254642,6.912151036628821,0.1,5.443751617366839,1.1237535972928798,0.926580913029305,98.88597609775059,10.5839571808161,4.954374043985481,5.643028434443522,6.4851164152899505,17.208865724089698,1.3884906252388,3.87970322920596,3.8285030986933704,0.24420248110670603,1.46794108186811,82.121307145613,6.51323671827529,177.484466247835,80.442415402446,24.5657937768155,120.009984325827,27.3216159255074,2.0127911098873703,1.69422465485717,84.69030603555571,32.7044047691351,59.599735951221895,102.26675968669001,1.77856758220238,196.609502960569,153.700274385354,1.10831625122367,1.7824840873925099,63.4190203642245,0.4799596896372255,1.01125525805091,0.1,17.3525224682178,1.52922438388167,0.204383867174012,0.433105239645686,4.26068216328083,1.17543186694629,25.5120992009386,0.10841134010495501,64.9206273154127,3.86941245010259,25.625056961960897,12.0039271606643,47.941410515388895,22.1067640519462,14.258935145246001,80.92096007348609,1.82894774026597,16.200605233933
TCGA-E2-A1LH,0.7934397423744259,51.5941923808936,29.355384725165898,33.9193000238284,0.132272398581546,0.512971512765714,8.99754909857843,22.838182577388896,510.08423933559305,297.665944719357,152.051213385625,0.504838244359928,56.345025686021,42.6653541920589,112.49610226211,0.6646791137313821,45.7937430282185,13.590910170220099,2.74855125847412,21.3018029786398,69.7729844842317,106.10956347730301,0.11356936053600099,1.2399929214990502,11.810899466515801,12.6519636848474,19.4441267904638,25.3254726552589,47.389533674907895,1.5977048233560902,24.4399149064713,229.467989776128,454.292341298568,13.751241350676201,22.9774318589331,4.39101116309633,0.23578731416201604,0.6085934873993779,1.56340056695178,4.101286240618911,1.29065673490549,2.26974324382373,2.18326578828957,23.6831838280094,14.3535613549914,14.6289817957745,162.65340842946898,34.543742366304,11.878980505681698,5.57012549496838,3.24722635153495,19.5106040863268,46.395548422176,0.12516215327614802,9.31686531426063,12.8914852159272,21.7077500310849,46.5286553291891,36.817570428766,493.726500580208,196.92810372192002,301.561590432484,1429.94729427817,0.8952811656726773,622.4247699049689,8.30708091894991,258.29895596056,13.380169110079901,38.4804191579768,24.889444708758003,34.356389328744896,11.192712969599302,40.9585338079629,15.8052857122574,185.583711714777,107.29276141798901,1.8881402288968998,17.8516885315415,9.890600562530711,17.1524659614357,9.936713148782971,11.6885377384221,30.1519164643625,94.0748815014303,0.175829049978157,14.9936285109179,23.511698228670998,0.137015716627816,1.02414261671114,7.10933464094114,2.49552845773277,12.642282921098301,20.7909608047372,3.6171504415731603,3.66878108230204,466.75850082000295,8.31432511325132,70.39885701577391,6774.29305294269,177.059930045017,52.64965636579479,0.1,20.4871313198708,6.38887423909722,0.1,427.98210300667,5.410405214020249,1.65233205258327,0.46020974325952096,6.47872471877659,7.91185487959641,3.3315173351369602,22.270211271854603,24.447301513990897,3.04410292613759,6.897160510857169,151.326937285512,41.6845735725251,1145.44646470579,197.79887221089803,11.2114660139187,103.26806911057899,5.93066047689121,0.601370729247801,7.19929882305146,52.42882266765929,10.396004047661199,43.9581779023896,113.156436248115,6.065007335264339,220.544352140031,2032.72425158749,0.709528913009581,1.3094221106156,63.25291759021,0.1,2.49617972984191,0.22000849563152303,36.067340558992,0.8758657608519269,0.110261141749473,1.0179100695399201,114.020265243791,0.8624951394913871,8.72216019542604,0.18017589069136197,63.5874133455101,0.554904763061989,29.319232356076004,6.957149178970241,28.1610959217221,92.392789064043,13.012722140543499,31.2349723965531,6.43907321125631,106.17275690502399
TCGA-E2-A1LI,0.306365470551001,100.66999448272499,22.180012150022897,23.7977010179391,0.5432917060339799,2.6851168603532005,8.05991421685053,50.947792646462496,170.063269319521,169.543840204311,132.848085899944,0.17517757474103302,120.440193476993,221.080404338832,65.5038124044123,7.48242211767657,36.6868388273702,7.55809096021862,6.169573693251469,34.706009657856605,103.21007341038602,98.10478009532301,0.44421098050851204,1.47613018221166,43.460648986982605,2.76422728053695,81.23193345624387,15.488726220571401,31.2116418150541,6.4869617502631405,64.59613149660039,313.916833160297,225.876714068801,26.292092399263396,30.353635937969898,14.4221485974664,0.5535953674666271,0.299886539535068,1.5239775210756499,9.037149154544,0.7951212526301809,4.36950077936166,0.493278379505572,98.6769132398289,32.5709628368537,6.22594871160658,74.14163079477191,27.253081632585,2.41460277378796,2.82241386021487,4.53762806769204,20.3649314475514,66.51507320902951,0.192608016308975,5.30471603186794,18.1082938660037,29.2126447963387,33.5976251663029,96.45255020790658,360.51406873327596,43.0112660951657,228.878730753485,575.020269687065,0.293828992860313,547.553098492087,8.25684274127004,587.243875625642,62.2561087730636,211.77214755381803,204.8330531715985,54.7672439633391,51.775248483272705,147.220386293797,21.155315323416897,98.1441768469779,130.904754430485,5.90524850501264,90.87824279866449,14.3248800793843,24.343256404067198,5.629450806544889,8.856989125158869,17.4770642550338,60.030965877722394,0.165363150005159,0.914321837096384,20.9793077989293,0.1,1.79609530940912,9.371371520104038,3.2048368971826,14.9307157716259,30.0715542296768,8.80667541501163,22.9182271038205,1649.1175680406295,5.5010551724624905,8.52863247192138,9304.654514973228,86.4945275967982,33.3940954548773,0.1,3.94573230451897,10.6525999384614,0.138385098854685,296.435890046864,14.403153547893,6.15281292357646,2.8735387918182798,6.320743425289309,22.417643043445896,3.0728098515652995,18.134349978646604,19.4062412980916,7.06095191968935,7.728324473911611,137.164859536087,50.51729516161329,309.91912033871,177.862589477895,18.135465238170397,194.32005103263953,11.4708255966379,0.6193721460980219,4.70233650191241,172.46782767481002,15.6084476916849,63.718982482046,81.2472399326678,3.47342163344514,93.5640435300965,1744.37457638708,0.642024056715549,1.81038756299379,49.0258603180666,0.21618526599755203,1.94064421075398,0.18514044616743502,20.441525899995998,0.41389855280207893,0.598469426061342,0.5275816531693039,264.75324464720046,0.16760405089043098,20.0297429643403,0.148032072110681,135.391092206036,0.424558614272744,63.2511685455318,11.5401092595186,50.0628622583227,110.13272289169399,13.9776297327655,126.27863404890101,5.52458696373332,135.730042422797
TCGA-E2-A1LK,0.563691553296705,120.02310625927099,29.1013846305229,43.495224037576,0.17253665544151,0.423264836745568,1.02480919220148,25.0600497909938,133.579788836903,75.34382756522591,103.839952071487,0.1,92.2078199340413,327.767753960236,148.191963223393,4.64949666508004,22.3671475526257,26.467917632298,10.3782207462979,25.5629026633594,139.282731169757,63.1708479811096,0.10725264647844501,2.12751031148328,10.0497491592616,1.95741771245141,9.94321717893091,5.88485553597788,18.3674579152677,8.150950551040191,18.501660155979604,193.011591693936,285.02474693536,20.996112662045697,22.137072001735703,5.19293404708207,0.5769925706468431,0.307486982111092,3.1482752746703797,0.42695812284441503,13.606620572431101,1.7540728509543702,0.323279488780906,111.95686639538499,13.2473658034731,1.13556892810121,27.297691416915196,161.767311895087,8.907879578886721,0.78728366844573,15.1342670801857,8.7850174634604,29.209743042288398,0.1,7.1640012227335,42.567538860425,24.266214140652398,55.409887373091,482.235719685771,237.782254038582,2128.8052234291604,117.54265440697701,1.09669782769859,0.1,622.4247699049689,9.35668933846267,421.81473697184197,30.376163118036605,37.846759527078206,176.481470369256,22.756691636367602,28.1266610826442,52.529621448759606,1.66913480009709,49.5715602993723,131.453426783629,9.049686796728482,137.77910559292602,11.1682301871606,31.4240757718529,2.01153526942986,6.893135417409151,10.7748306929898,19.5690704772335,0.11105360754503801,0.110365962638763,111.92739753347799,0.1,0.559305231250796,6.3105676588837305,1.9039902358357799,1.9327124004029,32.1958476083669,5.57979122527174,0.198125929793351,193.325822464714,7.7128761986586705,31.401344313536402,5147.56582304378,36.5955659214126,5.58858338781646,0.1,70.39124976227342,5.48112345184672,0.1,181.645673462726,7.952149433495769,4.57684331955253,0.5983142581871429,1.7743579442428703,16.6452554829233,0.7979708262867958,21.2637902477498,16.461693313733498,11.474000488285197,8.13846420156216,169.556517375935,62.1659156369884,634.296582884662,274.43177822384996,11.2896891016426,15.789708070406402,11.5500562436926,0.22456719649742604,1.68533526561178,49.6459408634056,20.445729259034,79.1613563235032,112.826409995429,2.05732479388492,181.87036489361802,3040.697878774984,1.27326814356787,0.6678731726958249,27.5243143995637,0.166712112940996,1.3193788737050902,0.196515438990607,23.576864402277003,7.308981297954321,0.1,0.238152222365768,3.0632426407938302,0.1,14.8699995008775,0.207105153933887,6.64440523906505,0.184247799421178,40.786592357597605,16.1778067663094,24.5539123953138,144.06272180313,12.954462402741001,123.71031729276699,3.87600375332754,177.24581967121398
TCGA-E2-A1LL,13.930665965866401,160.386623658028,25.1519167103391,247.887810355473,0.14118814009576,1.35926442412709,30.271511368072016,42.1497951283256,380.158373538695,234.23930670269402,10.9501197743786,0.1,66.74889433366201,243.914242646592,53.2408738160814,1.74249551852981,103.797866612279,64.1530431871777,37.21231285697277,31.2797938638712,45.29534521436771,27.199446850436804,0.47106149226507105,5.851606706959701,26.0819181761215,21.339864403855103,20.4827705428668,16.2424551774248,24.211669439138497,74.9080192526277,41.5046925635714,884.6462093713344,1120.42438521441,42.5048280629626,49.947063131137895,38.874023775019005,2.57940653974766,0.332200373742347,1.69243890380225,1.64214022200511,2.43408672194519,4.312889495825029,0.37837538432483503,41.673547841044396,43.7263152870607,9.870700241704661,56.039942976572505,177.64499341145302,23.705250431103202,8.1813663504509,76.6850377281804,31.081218005226198,202.88267241397722,1.0352572170256802,109.4355877832817,34.9786651372959,196.878796923007,83.48857770223219,1717.397021881995,1002.2747580778099,2163.9695150900916,945.905528142965,2784.82046383899,0.8952811656726773,3.47344160621445,4.00212266984973,201.428134029108,40.8827427552339,41.353520494654,48.216649885550495,49.718358763919106,26.771562417894103,130.352613883256,35.1607920127045,122.464001785912,14.869453845202,26.0783001570336,169.663542601578,26.3356548856132,55.8858643549834,3.3953032891593797,23.6982948743711,24.2384159955668,47.03955269552171,1.04266477013322,0.9866039169558679,104.372077009349,0.1,0.170220012751121,9.02652079051248,49.906410654333,46.8350100957997,50.080842789422505,11.489928933499698,0.557093668141262,191.35663408149898,20.8069825229818,119.916662099474,9304.654514973228,22.1036266585362,23.9539327623852,0.1,50.024292519354404,23.576891169823444,1.41589707541594,367.145742261203,9.318500135599509,6.08734842709116,1.3001404871684599,11.900898025255499,19.4928719403595,2.93354881038293,23.1002969861877,9.762521050474529,6.34980796684466,13.169646344245699,788.513050555705,150.86047385422302,676.356165836978,54.0190238405321,24.199968639029304,19.6136034531635,25.2345766831485,6.03067928884879,2.83161375921605,192.05753051637407,21.9024702603696,35.854257391740205,63.70029775013061,20.513121389937766,195.273594783563,3040.697878774984,1.12803653080909,7.07313033387276,21.4522734174552,0.23295417448563102,2.4590004330555097,1.8809744627992664,31.7981885411999,1.04453948845898,13.566035258972395,38.04595508022171,9.983719031214859,0.44284455838675,24.341860620383102,0.14568845769170402,51.305415258775504,0.584019608042225,72.39167926614779,14.8472436006919,52.4490598304707,511.243375967526,23.566850515027898,78.6550455055273,2.9453568004297,166.576640543168
TCGA-E2-A1LS,0.226583938894067,32.6244126158642,14.2407616093456,4.59300529263767,0.10236144095646602,0.213558796530439,0.19773400797517102,27.196546826709,83.78874414684279,75.9101988365333,8.899320854703669,0.1,164.904381166197,232.33095472494801,12.5005052977969,5.699190022348571,5.540109655004231,4.356058460596961,3.58869663824227,20.2832065686769,15.886527921436,173.536396314011,0.452188886174643,0.628306044813829,6.157118073927981,7.2726459626478395,6.8933151268777,5.7273858112267995,18.511965244444102,0.14769449994478198,5.38633243976064,77.229872060061,122.23070596274201,9.198326815564359,16.326998600516,18.4831543213027,0.16778026767585003,0.22548747002524,0.384136769993419,0.14210562636300697,0.6743472462893348,2.6336358257408197,0.20114521724085602,27.2128447107578,8.00675472883502,5.380726054886289,28.571839139045302,8.52622970944537,1.01602050600872,0.809679694067886,0.49510308858975394,48.438578901000795,141.635545135207,0.656045155981026,1.75056483003901,10.5304909559429,16.1093669486174,39.4128829227084,30.5721166244764,339.601320055082,24.711047058783496,253.183091560449,380.761894579962,0.1,622.4247699049689,11.830584644190301,331.82447353674803,7.457362116534919,19.3368743568625,13.934781097200402,11.517882341698199,9.343124024300801,20.6133130069022,10.6804992467895,60.790919184367894,0.656477424359598,0.8323914307722672,57.8915997686921,2.94914749923596,13.4540429643768,2.04885273090333,5.3211184433127805,7.33412446494776,26.795030806272003,0.278757158038185,1.00112373518323,12.3365122783073,0.1,0.563460666850495,20.775905862023556,15.483109987619299,8.76348215318601,14.718779198436,6.48533236852162,0.21838355628342002,133.920743200666,10.0309469170115,34.8548687259235,5521.46141899841,18.318006610609398,8.68210483554808,0.1,38.5585573423909,5.20565034954123,0.1,234.265652933469,1.7734065925258797,3.9039369475660197,0.411544504766656,3.02493859585538,16.6275971477437,2.10756046835871,3.47542807168595,5.711050183294639,8.15801216470482,2.4936848543029,28.9466224219818,105.882434042518,680.161774473441,19.9848806501975,15.6136525048774,52.3120667449319,9.29602577496362,0.19035845189907502,0.49162453965985,5.83746556133912,7.86515279024528,47.756757031805705,25.388589835121998,2.1412676153868797,111.12524660693899,285.927809619044,0.410838196852451,0.1,158.568561932027,0.150444067867774,6.49345481594469,0.1,4.53227747937723,0.739966082899413,0.142073481152935,0.327488452400425,42.4500875190373,0.19136592611354,35.455153667778504,0.126919537775951,24.263077025015303,0.45377897630329794,3.4227532541750096,2.47915358578857,17.768452490539,177.757929761292,14.9399419386016,8.768836201317491,1.2538878957481001,75.8167341755592
TCGA-E2-A2P5,1.5683766840861597,6.03705837339648,54.9393851690148,48.635193272000706,0.109427065112999,0.153414867968229,0.43370376416216905,41.4929755629645,1818.2568465353897,835.3879951330499,190.42716605309602,0.1,561.889758868437,179.148681614248,33.0892553911096,0.110219499770527,17.6081204410259,15.9538972992115,0.7109313556801871,32.2120320554688,77.5757418499785,242.429296533517,1.53801641923915,112.0618166946,13.2551492069963,12.612221380357498,45.9680277198803,28.9916290804248,9.67762363138586,0.25920297928209807,46.9897287538471,273.06553426147303,916.343902635784,23.865032636889,19.974125606574603,441.426083016628,0.40416672956604205,0.526885806910086,3.33462672823801,0.1,0.499300703634731,5.36892671548195,0.910494179694135,36.5579522361383,9.45491648286353,30.8037830518026,90.7728912177581,3426.6641945035603,5.579033324733389,0.910493876934908,0.6875587430782801,21.882503844833998,22.6231647064945,13.042510216276698,12.8300961069955,18.0247291729315,9.097504258549689,142.03943214580602,33.413671431682,1275.6250029754901,50.545331567586295,1726.03008506578,53.1931021614324,0.1,0.834806266277073,5.753555764980379,135.921961781703,31.1103681882935,88.2247883766012,63.7894134062687,29.9961910136,17.9809812786888,73.0954647602237,3.0499017304510403,212.973465131495,5.42729355338559,1.38152476999414,183.77849347186,9.78892460762548,39.497892959829706,9.013137558293279,6.1144343416251505,27.179307623977,47.793455688471404,20.278977016573698,5.44711207522429,33.6219150339531,0.1,0.35512806920051,9.37618357581592,10.425647062828,28.172105618579,21.844273918231398,8.54917166549593,10.740641336011802,493.00361822226,11.9122223706708,103.622505391068,6054.28926480077,28.2964282231571,45.58140974686629,0.1,8.338591404153469,3.71519862489884,4.80155325216189,1404.92720110778,7.74086241195941,5.589548574839539,0.5579855630059389,10.934626635834201,12.004210986430301,6.69806393240978,29.5302227915758,32.1716648280371,4.24822911279556,47.1329421617163,42.9159956201323,154.11682411956102,287.229437579283,125.031055812638,11.693543179979,135.706136572447,13.101970350195598,1.6660234781182501,20.256859027673602,93.55170419845079,27.4388196831536,44.3378559751839,105.833975071479,7.0593762484698495,324.614183725284,669.121201633404,0.3488486948708481,5.58938086908656,58.2282449893019,0.113461750660381,10.379864372287301,0.12600024276058902,47.100535557240704,1.7397579549667002,0.511424237178275,4.77093391872996,0.855327323741718,0.30003203669405,13.9226089118796,0.134658803475131,1.28414746440075,0.6124801624306129,24.696259680780695,11.7229460156455,31.610599061296202,54.0849235910651,17.2649079321285,70.2127561899697,5.65552461249675,6.58800478705542
TCGA-E2-A2P6,1.00735322697042,16.3666052908526,53.4371001134954,56.4382292025159,0.11175577465427301,0.37501827270132,0.709370182140848,27.769690850349196,646.310037261564,338.737011797047,46.810587756527006,0.1,81.8216441188384,98.4828495649456,58.034670745026,0.1,10.6838063755237,24.6921604007511,0.47009131960253,26.6470854402141,190.830418653955,149.930710647885,3.5762430833685,342.264443185718,12.0556602539509,9.928742199528699,11.0533722362978,20.5758516654948,6.95316411390859,0.15968106509019597,19.3268206737518,109.010027183242,317.172462463553,23.0116120967489,21.0113617282739,447.44988207020697,0.32074728467407504,0.652752493400153,5.92499421137635,0.12648121264605802,0.46597614284216904,4.032270204199779,1.1762426507993702,25.035087251778602,50.042454761648706,43.63155760627829,36.079930327721,96.7594010526256,18.1064139913281,1.0248508537980001,0.577363620220103,90.4752396892568,40.12727560953,2.9163976915762997,29.417637184383302,24.0221451950706,64.5917424492817,126.126044018944,6.153986141462541,2535.61966884387,14.350673083995199,1707.95622910833,2464.83817235778,0.1,34.2223083289396,4.63562937270366,212.651956000242,21.4740804664805,58.7626768180783,27.959887426749802,36.3487724777167,22.261638644088396,50.4317232499066,1.73962907596682,70.83614915814479,11.435693969843301,0.23332435064345397,14.2195795943754,5.89740530023924,23.753827400499397,89.27897706350775,6.63555940333472,34.3437587469221,64.2199182716909,0.569589741672328,24.070930767342702,49.7689061943054,0.14504564288157598,0.32422337624347,8.573263710994231,12.0719703016068,29.4984117031461,51.8522904936771,6.76288959491802,0.7862486597919158,172.04174196804001,17.167887770737,402.915388136209,3701.4646941814703,40.8973048153126,35.570289881771394,0.1,8.03243110228591,2.2360493303703097,0.15204292422501198,740.363162285199,10.6301934682829,3.79085915733042,1.091469882625,8.66765701769426,3.23965028423271,6.81661872965361,30.5529612387809,21.1493050341059,2.50313803384618,27.716321858948803,77.7033236973801,28.547707490256702,884.940205804377,71.7339613236685,14.503124310349698,40.0279014961621,20.321368506295897,5.68044378815547,3.99020988042139,47.9339563227965,6.1620456760840305,34.4173683142602,74.59969873735591,5.254610614134231,385.418369795898,570.363432663485,0.497759448531041,1.04293814856426,71.3829952414633,0.13783353466908999,20.7205453013904,0.28247702971242794,43.628932956083794,2.6968388288530805,0.239647764054792,1.27260486068444,0.867629264449692,0.587831976012543,17.1446267813307,0.156776911922883,7.09969915999961,0.594969674067979,9.55279550265677,8.970980759368349,27.0249748228147,264.486297686904,21.9486899160091,43.7323569829078,7.40324774586283,12.992058079065302
TCGA-E2-A3DX,1.04989810465217,8.91054203776003,37.28294261242571,85.1395715033896,0.16835455483911202,0.588543815560284,0.775120461498727,42.953682940140105,5169.48552912592,4547.74058810375,112.764052671713,0.1,1074.951475163082,306.728575389512,81.8606667119816,0.194076920301001,61.279559136075704,32.558037820086604,12.606158518334501,20.7091437922548,528.215498225132,157.993125893587,2.4994118725583903,124.42393225457899,8.655902747554471,67.6381980734032,39.3108676626732,67.651430766134,16.3156550601015,1.67603192052719,5.291925066859361,389.415976978117,1523.76435441694,46.0105048708056,29.0047139230618,134.553404145838,2.3406873250336804,5.5312913258039815,3.79437500389899,2.6585554587997002,2.64544855163178,9.62354673027109,4.4169446610925,40.237697240817,50.7334031670916,99.34250238073619,149.478163779565,160.61226239841199,70.0257115301996,4.47195707430378,11.4945877981055,25.3589383871987,49.811862626533696,32.246975115767896,34.993878696536896,67.41359255114179,51.18793250568561,178.560137454123,69.3625741078413,1053.88117271753,61.77635848636479,824.653402503117,1636.4696978167801,0.1,8.05048333383436,10.21284088486,90.4116568738935,15.1704915522831,48.014758574165704,34.0364877387038,35.5545885421585,17.718617487818697,48.7499792983959,13.128574258047301,702.168378718858,39.731761915446,14.630266442355799,139.721209707604,11.7763681114021,20.4968655213226,16.2383382756125,6.41529890748501,38.8823214005458,168.628650362144,41.1802174735384,10.7095967909306,83.5839138355281,0.12670605180435598,0.309326441512265,10.7916052058233,28.864320193256397,46.740736631852705,63.905503852152,10.418290932147599,2.02556937561691,475.987501035409,26.1988508889287,67.6810030891846,4197.047372538161,40.046223171377704,324.01920858804965,0.1,31.4465040016014,5.0838304553127,0.16292960071925902,3259.91737506442,5.09342927404516,6.07756088449398,1.02917452231666,52.8039487256604,16.8135948041298,32.0150709063689,72.09423198859241,56.0849056988375,18.531366408222198,108.533399739597,120.278451985248,169.98738987347798,489.201358138073,513.081019752427,33.6029522135562,49.434136666537704,27.095487643059002,2.13688508012606,21.5541028881669,106.051133996881,28.4401819640024,83.82285127307759,141.609056931609,8.660507779519,261.706126052412,2112.2990059774697,1.34391105301139,3.20642207236666,230.52205978644298,0.1,25.8894849714658,0.41660695165579403,29.945153192533198,7.49046022330187,0.5954471135078461,3.7290573155697797,4.59849333424453,3.85090050580558,48.41216404095879,0.194707777271722,4.61018907711645,14.626382760712199,3.8798007596024306,31.7660310175611,30.422688606378102,451.44315944700503,26.197376736093897,10.630559621293,26.736874281149397,36.0209547916934
TCGA-E2-A56Z,0.978427700209662,3.2445717430075,67.74484422514841,54.781194660233204,0.11173346939508,0.27848367784736605,0.242654378151485,53.260702792868,564.118125525731,290.922368272406,122.772442229524,0.32860023256015397,92.3349351010961,103.395388958851,141.384202847295,0.1,28.844727153046602,17.901822718420398,0.254190791235953,32.0072046386881,119.35051633277901,156.226308507777,9.69367783187897,346.09259327286696,15.9657083436273,11.448528773907599,15.0819294869502,30.1849094671367,3.27243152226578,0.200570415126441,16.0164670145127,114.130842030937,605.0044376696441,15.5588008752744,27.265769411901196,481.23776695569296,0.30038698935258695,0.281488838610042,1.41907007591766,0.353070810557459,0.360417340351993,5.588618811116071,0.826158485823481,28.4219667043891,19.406497642446002,9.30952151973809,57.933108894870394,177.331414237963,10.763948717309,1.9170574689981499,0.8571971736532759,67.3147858569619,20.8895548465156,1.09279724844866,23.3289735370758,14.8459182772195,8.41228151159964,93.2649161988368,3.4862225511580895,818.495862363214,5.90119507499923,1638.2302632246801,3140.16408675893,0.1,1.32216076000632,5.4330272535228,335.05406167717996,19.4134055607641,56.398756013914,19.692555460943,18.564093271933,18.1718257395139,49.4961646609165,2.05440640166224,77.3847187204927,114.577175997225,8.16652073147415,33.4788616366516,4.30059602555566,67.6944780282727,55.6437059991155,12.1390582666539,21.4414341514047,49.9577240598741,2.65506514250623,0.186341764065867,21.4712272157349,0.161231368963675,0.169084006081827,7.3446960038406095,12.2501829693099,13.7958712046933,25.539977303174,6.60320863650726,0.45143422692553103,266.041694840357,12.418385442609,1130.00772164218,2544.32973783483,46.1457853550879,25.4304900365601,0.1,5.96771003990124,4.78246698166594,0.1,671.622941946575,12.714270206637401,3.41833022755691,0.424598465039303,4.941557827815401,5.31336106164926,3.1716281135496605,25.6354876023515,24.968739397771397,1.17035394420007,15.072330781498401,65.3950841902724,111.458695898398,1015.55913763718,75.90642978635191,13.7512915392822,69.3466877619667,20.0321041982856,1.8276933421048103,5.50701953740039,26.9602564986822,10.867237885057198,51.9603754254824,181.847608941655,5.19656177192903,243.026864804904,468.351204237679,0.22926382575274698,1.03835649403132,28.549494702582003,0.1,4.81773285591632,0.15685436138914702,38.0600172823666,6.9507291839468,0.116630856336725,0.538889450798825,0.261069048161532,0.20895193306414603,23.4736596518993,0.1,1.77113383557295,21.9048619557643,22.2369398305745,10.945484635727198,17.9476163972796,28.994807706030898,17.2279426194298,36.813969236681,4.558877528967019,227.947247600276
